Alter,Bildungsstand,Rauchen,gender,Herkunftsland,Mathematiknote,Statistiknote,wmsva14,Extraversion,Neurotizismus,Offenheit,Gewissenhaftigkeit,Verträglichkeit,IQ,BDI,BDI_z2,BDI_c,bedingung,correct_items,confidence,numerical_ability
25,4,Nein,1,1,1,1,43,29,30,40,24,32,97.5,5,-0.05992640659570784,-0.33000000000000096,Kontroll,32.44428082295656,5.4727639220045905,9.106326931058856
28,5,Nein,1,1,1,2,31,26,32,17,15,38,95,4,-0.24152157809785227,-1.330000000000001,Kontroll,44.429666326957175,4.580742785749271,9.041742066823543
29,2,Ja,2,2,3,NA,40,21,28,39,33,24,97,1,-0.7863070926042856,-4.330000000000001,Experimental,18.756959973402218,2.140949305766275,7.705509916091817
23,4,Nein,1,1,4,5,49,30,27,20,42,36,101.5,1,-0.7863070926042856,-4.330000000000001,Kontroll,37.60158224691026,8.471110486907783,5.25107837287611
25,5,Nein,1,2,5,4,59,18,49,31,17,24,85.5,4,-0.24152157809785227,-1.330000000000001,Kontroll,14.5210609107795,1.1260379455890508,5.73675646259618
20,4,Nein,1,1,5,4,42,29,20,20,8,15,95,4,-0.24152157809785227,-1.330000000000001,Kontroll,29.485373634317703,3.691473753970075,4.002720988619124
20,4,Nein,2,1,4,3,45,40,22,34,43,24,103,2,-0.6047119211021411,-3.330000000000001,Kontroll,45.096733885554,1.7831523552696282,3.9935765789117763
23,4,Nein,2,1,5,3,50,9,39,15,19,24,98.5,12,1.2112397939193031,6.669999999999999,Experimental,37.98042891903232,4.90925883308817,4.475965895318996
65,5,Nein,2,1,3,3,17,25,33,33,24,21,108.5,5,-0.05992640659570784,-0.33000000000000096,Experimental,42.85671926270738,3.5278194397200227,5.262584857717922
20,5,Nein,1,2,5,5,26,18,34,13,46,28,84,5,-0.05992640659570784,-0.33000000000000096,Experimental,20.050826305406453,3.783236568912152,4.97712001872547
20,5,Nein,2,3,5,1,40,39,16,40,27,48,88,6,0.1216687649064366,0.669999999999999,Kontroll,18.935907538236503,3.1171665500006025,4.853368472762265
27,5,Nein,2,2,3,5,53,43,29,41,31,41,97.5,1,-0.7863070926042856,-4.330000000000001,Kontroll,27.0771656976358,4.902749385830925,6.148151861179272
24,2,Nein,1,1,5,NA,57,32,46,23,25,21,100.5,1,-0.7863070926042856,-4.330000000000001,Kontroll,35.337556534760566,5.443388722445103,4.515638998801251
33,4,Ja,1,1,2,2,83,43,23,32,50,29,104,9,0.6664542794128699,3.669999999999999,Experimental,33.45354262793614,5.146017615765474,7.432571193365655
29,4,Ja,1,1,1,1,46,38,16,33,40,40,97,1,-0.7863070926042856,-4.330000000000001,Experimental,27.08398085579207,8.323693412203976,8.542447462670888
22,4,Nein,1,3,2,2,27,30,30,31,45,37,105,7,0.303263936408581,1.669999999999999,Kontroll,38.84151592866548,5.888497293263988,8.96894927670222
28,4,Nein,2,1,1,1,61,21,41,32,27,27,94.5,3,-0.42311674959999673,-2.330000000000001,Experimental,33.44474712953928,5.930461920680189,7.792723350896054
29,5,Ja,2,1,2,1,65,34,14,41,44,17,108.5,0,-0.96790226410643,-5.330000000000001,Experimental,40.82908560586919,5.18547097650703,8.32441987247976
24,5,Nein,2,1,3,3,60,42,26,28,29,50,94.5,26,3.7535721949493257,20.67,Kontroll,40.25250544758126,5.859638874861204,8.289212913806137
20,4,Nein,1,1,5,5,52,16,36,17,6,38,83.5,15,1.7560253084257365,9.669999999999998,Kontroll,20.93252875084233,4.538311680236479,5.857045760925974
25,3,Ja,1,2,3,NA,56,21,40,29,20,5,102,5,-0.05992640659570784,-0.33000000000000096,Experimental,31.267716403864917,5.897231321899321,7.923257467967504
22,4,Ja,1,2,2,4,42,35,30,42,27,48,101,4,-0.24152157809785227,-1.330000000000001,Experimental,41.93558074118298,5.221836433377264,8.679109368921232
25,5,Nein,2,1,1,1,36,23,12,29,28,35,96.5,1,-0.7863070926042856,-4.330000000000001,Kontroll,27.51208025448484,3.551945295216398,8.702592386838749
38,4,Nein,1,2,1,2,68,18,33,24,39,23,100,1,-0.7863070926042856,-4.330000000000001,Kontroll,34.299822826942545,4.113306547545871,8.637734145762828
28,5,Nein,1,2,2,3,56,17,29,31,34,27,98,1,-0.7863070926042856,-4.330000000000001,Experimental,31.778848260851472,8.538045662612165,9.171386788490427
29,4,Nein,2,2,1,5,50,23,27,20,23,16,97,2,-0.6047119211021411,-3.330000000000001,Kontroll,37.35923898480325,7.549676465697919,9.317655374268616
28,5,Ja,2,2,2,5,75,49,1,29,34,43,99.5,11,1.0296446224171587,5.669999999999999,Experimental,43.56265927925167,4.030702827522447,7.546830614578958
38,5,Nein,2,1,1,1,48,36,23,28,36,35,95.5,9,0.6664542794128699,3.669999999999999,Kontroll,43.77897313210801,5.167740984994219,8.628129974852108
21,3,Nein,1,1,2,NA,42,33,23,34,30,31,106.5,4,-0.24152157809785227,-1.330000000000001,Kontroll,41.8938046791975,5.250909432903146,9.065556890845258
25,5,Nein,2,1,2,2,68,36,27,48,33,33,87.5,4,-0.24152157809785227,-1.330000000000001,Kontroll,11.388952288724282,0,7.775918503551946
29,4,Nein,1,4,3,2,75,39,19,19,31,35,101.5,1,-0.7863070926042856,-4.330000000000001,Kontroll,30.952608967459945,4.706459801236559,6.380850709151812
24,4,Nein,1,1,4,1,58,32,45,42,22,31,98,4,-0.24152157809785227,-1.330000000000001,Experimental,35.378259804706346,2.9247090231984982,6.479885687119149
45,4,Nein,2,1,1,4,40,21,46,20,17,17,86,21,2.845596337438603,15.669999999999998,Experimental,33.002231324568726,4.934503074590367,7.823255419942798
21,5,Ja,2,2,4,5,33,36,53,18,11,28,102,3,-0.42311674959999673,-2.330000000000001,Experimental,34.01184794285516,5.893860747646525,6.56280262019696
21,4,Nein,1,1,3,4,44,35,28,31,26,19,90,0,-0.96790226410643,-5.330000000000001,Kontroll,24.20855606803716,1.1736923677892366,3.5243557423026175
21,3,Nein,1,1,4,NA,34,32,33,15,24,22,113.5,13,1.3928349654214476,7.669999999999999,Experimental,41.24201420917804,5.776955551961658,5.747442323494953
23,4,Nein,1,2,1,2,64,12,25,23,37,35,102.5,7,0.303263936408581,1.669999999999999,Experimental,38.27041400251318,5.636906135917891,9.385913117657157
19,1,Nein,1,2,NA,NA,36,36,36,18,18,36,89,7,0.303263936408581,1.669999999999999,Kontroll,28.27173847063542,6.40737077482719,NA
30,5,Nein,1,1,2,4,60,38,26,35,35,36,96,2,-0.6047119211021411,-3.330000000000001,Experimental,29.063478382539984,6.4904374641135405,8.550550598466161
31,5,Nein,2,4,1,4,60,27,38,48,42,29,109,1,-0.7863070926042856,-4.330000000000001,Kontroll,28.120109187465435,9,8.944472469618699
20,2,Ja,2,2,5,NA,39,10,28,28,20,20,90.5,8,0.48485910791072545,2.669999999999999,Experimental,28.77673692227813,5.618794908723226,6.633139569918882
27,3,Nein,1,1,1,NA,43,6,36,16,26,27,92.5,19,2.482405994434314,13.669999999999998,Kontroll,28.053276255585217,6.696706235201285,8.395950714693267
29,5,Nein,1,3,4,5,27,40,36,40,34,26,94,11,1.0296446224171587,5.669999999999999,Kontroll,32.78520615963332,5.445856448500106,3.8183320554171836
22,3,Nein,2,1,5,NA,42,19,38,36,35,26,79.5,1,-0.7863070926042856,-4.330000000000001,Experimental,10,1.1024101839412368,4.819959080892154
20,3,Nein,1,1,5,NA,32,26,30,46,35,22,88.5,9,0.6664542794128699,3.669999999999999,Experimental,25.669177033350397,6.244531169638252,6.121696714143736
31,4,Nein,2,2,5,5,44,14,39,26,31,26,105,14,1.574430136923592,8.669999999999998,Kontroll,50,3.2610027405790696,5.414826329877759
27,4,Ja,1,1,1,2,72,32,45,28,32,34,103,2,-0.6047119211021411,-3.330000000000001,Experimental,37.50807450533079,7.913233989523465,8.980926305017038
42,2,Nein,3,1,3,NA,80,43,34,19,25,23,95.5,8,0.48485910791072545,2.669999999999999,Kontroll,29.66845097264354,6.290397233530613,6.150301783421455
31,5,Nein,1,2,1,1,51,22,15,44,29,37,101.5,1,-0.7863070926042856,-4.330000000000001,Kontroll,47.61275499663336,3.348173692089398,10.251940284291239
24,4,Nein,1,1,4,5,38,17,51,9,23,29,92,0,-0.96790226410643,-5.330000000000001,Kontroll,41.547083034504155,4.44154731656817,5.534614666419634
35,4,NA,2,2,2,2,91,35,21,29,51,33,105,16,1.937620479927881,10.669999999999998,NA,36.958689181767056,7.09904165108287,7.761777963147084
66,4,Nein,2,1,4,2,17,40,26,34,30,43,94.5,7,0.303263936408581,1.669999999999999,Kontroll,39.388697132252915,5.476382628609528,5.6347950185378295
