Alter,Bildungsstand,Rauchen,gender,Herkunftsland,Mathematiknote,Statistiknote,wmsva14,Extraversion,Neurotizismus,Offenheit,Gewissenhaftigkeit,Verträglichkeit,IQ,BDI,BDI_z2,BDI_c,bedingung,correct_items,confidence
25,4,Nein,1,1,1,1,43,29,30,40,24,32,101,5,-0.05992640659570784,-0.33000000000000096,Kontroll,27.765970602099863,3.14650101798605
28,5,Nein,1,1,1,2,31,26,32,17,15,38,96,4,-0.24152157809785227,-1.330000000000001,Kontroll,19.815044482538312,6.777917398040703
29,2,Ja,2,2,3,NA,40,21,28,39,33,24,100,1,-0.7863070926042856,-4.330000000000001,Experimental,40.31801972500251,4.992512278732538
23,4,Nein,1,1,4,5,49,30,27,20,42,36,109,1,-0.7863070926042856,-4.330000000000001,Kontroll,26.421770843278416,4.664083148555579
25,5,Nein,1,2,5,4,59,18,49,31,17,24,77,4,-0.24152157809785227,-1.330000000000001,Kontroll,20.186379583927906,6.738497898323076
20,4,Nein,1,1,5,4,42,29,20,20,8,15,96,4,-0.24152157809785227,-1.330000000000001,Kontroll,19.498810099373692,4.7428892207596265
20,4,Nein,2,1,4,3,45,40,22,34,43,24,112,2,-0.6047119211021411,-3.330000000000001,Kontroll,25.21697721174573,0.93037846393022
23,4,Nein,2,1,5,3,50,9,39,15,19,24,103,12,1.2112397939193031,6.669999999999999,Experimental,13.698867663183275,7.184449671140297
65,5,Nein,2,1,3,3,17,25,33,33,24,21,123,5,-0.05992640659570784,-0.33000000000000096,Experimental,27.177526163418086,4.77785090951214
20,5,Nein,1,2,5,5,26,18,34,13,46,28,74,5,-0.05992640659570784,-0.33000000000000096,Experimental,25.448303915293717,2.728881995948883
20,5,Nein,2,3,5,1,40,39,16,40,27,48,82,6,0.1216687649064366,0.669999999999999,Kontroll,15.260530969312288,4.096865663599543
27,5,Nein,2,2,3,5,53,43,29,41,31,41,101,1,-0.7863070926042856,-4.330000000000001,Kontroll,38.572195125282526,4.06716242877184
24,2,Nein,1,1,5,NA,57,32,46,23,25,21,107,1,-0.7863070926042856,-4.330000000000001,Kontroll,24.944815568235555,3.71843718180397
33,4,Ja,1,1,2,2,83,43,23,32,50,29,114,9,0.6664542794128699,3.669999999999999,Experimental,21.80349165772595,2.9365053632730977
29,4,Ja,1,1,1,1,46,38,16,33,40,40,100,1,-0.7863070926042856,-4.330000000000001,Experimental,28.010114302654802,1.5758212853473617
22,4,Nein,1,3,2,2,27,30,30,31,45,37,116,7,0.303263936408581,1.669999999999999,Kontroll,31.84740082055547,2.31980338207745
28,4,Nein,2,1,1,1,61,21,41,32,27,27,95,3,-0.42311674959999673,-2.330000000000001,Experimental,17.338026268793698,2.679519677802458
29,5,Ja,2,1,2,1,65,34,14,41,44,17,123,0,-0.96790226410643,-5.330000000000001,Experimental,28.241558282529876,9
